Industry,Total,Male,Female
Total,44,48,39
Agriculture forestry and fishing,36,40,33
Mining and quarrying,45,46,40
Manufacturing,45,50,35
Electricity gas and water supply,48.9,49.9,42.9
Construction,50,50,50
Wholesale and retail trade,46,50,42
Transportation and storage,55,55,42
Accommodation and food service activities,53,56,49
Financial and insurance activities,44,44,43
Real estate activities,41,44,27
Public administration and defence compulsory social security,45,46,41
Education,40,41,39
Health and social work,46,48,44
Other service activities,45,45,46
Private households,45,52,42
Extra territorial organizations,43,44,42
