Occupation,total_ear_2018,male_ear_2018,female_ear_2018,total_pop_2018,male_pop_2018,female_pop_2018,total_wor_2018,male_wor_2018,female_wor_2018,total_ear_2008,male_ear_2008,female_ear_2008,total_pop_2008,male_pop_2008,female_pop_2008,total_wor_2008,male_wor_2008,female_wor_2008,total_ear_1998,male_ear_1998,female_ear_1998,total_pop_1998,male_pop_1998,female_pop_1998,total_wor_1998,male_wor_1998,female_wor_1998
Agriculture workers,13640,12816,13259,20.1,17.6,23.7,37,32,34,4276,6085,2135,64.0,52.9,73.7,35.9,37.7,34.8,2109,2756,957,67.3,57.0,77.7,37.9,39.6,36.6
Armed forces,,,,0.1,0.2,0.0,,,,7222,7300,6077,0.1,0.1,0.0,45.8,46.0,42.6,3306,3258,4250,0.1,0.1,0.0,48.5,48.5,49.0
Clerks,17021,14948,16161,1.2,2.1,0.4,43,42,43,7243,7566,5630,1.0,1.8,0.3,46.1,46.5,44.5,2832,2836,2805,1.1,2.0,0.2,44.1,44.4,41.6
Craft & related trades,21803,15686,21456,13.8,18.3,8.2,51,35,47,5186,5390,3520,8.4,11.6,5.5,40.8,49.5,24.6,2773,2973,1393,5.9,8.4,3.5,42.7,46.5,33.8
Elementary occupations,15033,11388,13622,20.2,23.4,16.1,48,40,45,3032,3478,2278,10.5,12.2,9.1,39.9,46.3,32.3,1491,1692,1054,13.6,16.1,11.0,40.2,46.1,31.5
Legislators senior officials,34162,29342,33245,0.7,1.3,0.2,48,49,48,16142,16888,12313,0.6,1.1,0.2,55.1,55.2,54.5,8037,8068,7525,0.1,0.2,0.0,51.0,51.8,41.4
Plant & machine operators,17578,9401,17404,1.9,3.6,0.3,54,37,53,6248,6211,6928,1.4,2.7,0.2,58.6,59.3,48.0,2981,2995,2037,1.1,2.0,0.3,48.0,52.2,21.0
Professionals,25684,14742,21065,2.1,3.5,0.9,41,40,41,9484,10468,6478,1.7,2.8,0.8,42.0,42.4,41.0,5079,5141,4631,0.4,0.7,0.1,39.7,40.1,36.3
Service workers,15194,10580,14125,23.8,27.1,19.5,51,43,47,6246,6747,4251,7.3,9.3,5.5,52.1,55.2,47.6,2507,2506,2525,5.2,6.9,3.5,51.1,53.3,46.6
Technicians,26494,21838,24856,2.4,3.2,1.6,44,42,44,6001,6878,4649,2.0,2.7,1.3,43.5,45.4,39.9,2971,3057,2678,2.2,3.5,0.9,39.5,39.6,39.0
Total,19464,13630,17809,100,100,100,48,39,44,5117,5721,3402,100,100,100,38.7,43.1,34.8,2143,2389,1368,100.0,100.0,100.0,39.4,42.6,36.3
