Industry,Total,Male,Female
Total,39.4,42.6,36.3
Agriculture forestry and fishing,38.3,40.3,36.8
Mining and quarrying,42.6,43.9,38.1
Manufacturing,43.3,48.1,34.0
Electricity gas and water supply,43.9,44.7,31.4
Construction,45.6,46.6,39.8
Wholesale and retail trade,49.7,52.8,42.8
Accommodation and food service activities,55.5,57.5,53.1
Transportation and storage,54.7,55.3,40.6
Financial and insurance activities,42.2,42.4,40.7
Real estate activities,44.3,46.7,34.6
Public administration and defence compulsory social security,42.9,43.1,40.6
Education,38.1,38.2,37.7
Health and social work,42.7,44.2,37.4
Other service activities,41.8,42.5,36.5
Private households,22.0,29.4,19.2
Extra territorial organizations,43.6,43.5,44.1
